,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
0,1,"['콩나물', '소금', '간장', '고추', '미나리', '숙주', '양지머리', '설탕', '마늘', '안심', '계란', '파', '참기름', '도라지', '쌀', '청포묵', '고사리']","['당류', '곡류 및 그 제품', '조미료류', '육류', '두류', '채소류', '난류', '유지류']","['녹두묵', '콩나물', '소금', '간장', '고추', '소고기', '미나리', '설탕', '마늘', '숙주나물', '파', '참기름', '달걀', '도라지', '멥쌀', '고사리']"
1,10,"['소금', '고추', '간장', '감자', '애호박', '멸치', '밀가루', '참기름', '파']","['어패류 및 기타 수산물', '곡류 및 그 제품', '조미료류', '감자 및 전분류', '채소류', '유지류']","['호박', '소금', '밀', '고추', '간장', '감자', '멸치', '참기름', '파']"
2,21,"['간장', '쇠고기', '마늘', '후춧가루', '식용유', '참기름', '미역']","['육류', '유지류', '조미료류', '해조류']","['간장', '소고기', '마늘', '참기름', '미역', '혼합식물성유', '후추']"
3,81,"['양', '소금', '간장', '소고기', '마늘', '파', '참기름', '무', '국수', '후추']","['곡류 및 그 제품', '조미료류', '육류', '채소류', '유지류']","['소금', '간장', '소고기', '마늘', '파', '참기름', '무', '국수', '후추', '양고기']"
4,84,"['소금', '간장', '청주', '소고기', '통마늘', '파', '참기름', '무', '당면', '후추']","['조미료류', '육류', '감자 및 전분류', '주류', '채소류', '유지류']","['소금', '간장', '청주', '소고기', '마늘', '파', '참기름', '무', '당면', '후추']"
5,85,"['간장', '소고기', '마늘', '파', '참기름', '무', '후추']","['육류', '유지류', '조미료류', '채소류']","['간장', '소고기', '마늘', '파', '참기름', '무', '후추']"
6,154,"['소금', '간장', '소고기', '마늘', '후춧가루', '토란', '참기름', '파', '무', '다시마']","['조미료류', '육류', '해조류', '감자 및 전분류', '채소류', '유지류']","['소금', '간장', '소고기', '마늘', '토란', '참기름', '파', '무', '다시마', '후추']"
7,155,"['목이버섯', '소금', '간장', '고추', '설탕', '소고기', '마늘', '후춧가루', '파', '참기름', '팽이버섯']","['당류', '조미료류', '버섯류', '육류', '채소류', '유지류']","['목이버섯', '소금', '간장', '고추', '설탕', '소고기', '마늘', '파', '참기름', '후추', '팽이버섯']"
8,174,"['소금', '간장', '쇠고기', '후춧가루', '두부', '파', '무', '다시마']","['조미료류', '육류', '해조류', '두류', '채소류']","['소금', '간장', '소고기', '두부', '파', '무', '다시마', '후추']"
9,202,"['소금', '간장', '소고기', '마늘', '후춧가루', '파', '참기름', '무']","['육류', '유지류', '조미료류', '채소류']","['소금', '간장', '소고기', '마늘', '파', '참기름', '무', '후추']"
10,292,"['호박', '소금', '국멸치', '간장', '설탕', '고춧가루', '후춧가루', '소면', '계란', '파', '참기름', '채썬쇠고기', '당근']","['당류', '곡류 및 그 제품', '어패류 및 기타 수산물', '조미료류', '육류', '채소류', '난류', '유지류']","['호박', '소금', '간장', '설탕', '고춧가루', '소고기', '멸치', '파', '참기름', '달걀', '국수', '후추', '당근']"
11,373,"['소금', '고추', '간장', '고춧가루', '마늘', '후춧가루', '오징어', '생강', '애호박', '바지락', '꽃게', '파', '무', '맛살조개', '팽이버섯']","['어패류 및 기타 수산물', '조미료류', '채소류', '버섯류']","['호박', '소금', '고추', '간장', '고춧가루', '마늘', '오징어', '생강', '게', '바지락', '파', '무', '후추', '팽이버섯', '조개']"
12,411,"['소금', '닭고기', '간장', '설탕', '마늘', '후춧가루', '생강', '밀가루', '파', '미역']","['당류', '곡류 및 그 제품', '조미료류', '육류', '해조류', '채소류']","['소금', '밀', '간장', '닭고기', '설탕', '마늘', '생강', '파', '미역', '후추']"
