,best_combination
0,"['녹두묵', '소금']"
1,"['녹두묵', '간장']"
2,"['녹두묵', '마늘']"
3,"['콩나물', '마늘']"
4,"['소금', '마늘']"
5,"['간장', '마늘']"
6,"['고추', '마늘']"
7,"['소고기', '마늘']"
8,"['미나리', '마늘']"
9,"['설탕', '간장']"
10,"['설탕', '마늘']"
11,"['마늘', '파']"
12,"['숙주나물', '파']"
13,"['파', '마늘']"
14,"['참기름', '마늘']"
15,"['달걀', '소금']"
16,"['도라지', '소금']"
17,"['도라지', '참기름']"
18,"['멥쌀', '소금']"
19,"['고사리', '마늘']"
20,"['호박', '파']"
21,"['밀', '소금']"
22,"['감자', '양파']"
23,"['멸치', '마늘']"
24,"['미역', '간장']"
25,"['혼합식물성유', '간장']"
26,"['후추', '소금']"
27,"['무', '마늘']"
28,"['국수', '소금']"
29,"['양고기', '간장']"
30,"['양고기', '소고기']"
31,"['양고기', '마늘']"
32,"['양고기', '파']"
33,"['청주', '간장']"
34,"['당면', '마늘']"
35,"['토란', '간장']"
36,"['다시마', '파']"
37,"['목이버섯', '간장']"
38,"['목이버섯', '마늘']"
39,"['팽이버섯', '파']"
40,"['두부', '파']"
41,"['고춧가루', '마늘']"
42,"['당근', '소금']"
43,"['오징어', '마늘']"
44,"['생강', '마늘']"
45,"['게', '고추']"
46,"['게', '고춧가루']"
47,"['바지락', '소금']"
48,"['조개', '마늘']"
49,"['조개', '파']"
50,"['닭고기', '간장']"
51,"['명태-포(북어)', '마늘']"
52,"['된장', '마늘']"
53,"['표고버섯', '파']"
54,"['양파', '마늘']"
55,"['가다랑어', '소금']"
56,"['가다랑어', '양파']"
57,"['쑥갓', '소금']"
58,"['맛술', '간장']"
59,"['새우', '소금']"
60,"['미더덕', '소금']"
61,"['미더덕', '참기름']"
62,"['미더덕', '고춧가루']"
63,"['식초', '설탕']"
64,"['김', '소금']"
65,"['김치', '마늘']"
66,"['김치', '파']"
67,"['멥쌀떡', '간장']"
68,"['멥쌀떡', '마늘']"
69,"['멥쌀떡', '파']"
70,"['돼지고기', '마늘']"
71,"['칼국수', '간장']"
72,"['포도씨유', '간장']"
73,"['포도씨유', '고추']"
74,"['들기름', '마늘']"
75,"['참깨', '마늘']"
76,"['갈치', '소금']"
77,"['갈치', '간장']"
78,"['갈치', '고춧가루']"
79,"['시금치', '소금']"
80,"['굴', '마늘']"
81,"['굴', '파']"
82,"['매생이', '간장']"
83,"['매생이', '참기름']"
84,"['매생이', '멸치']"
85,"['매생이', '굴']"
86,"['명태', '마늘']"
87,"['느타리버섯', '마늘']"
88,"['대구', '고추']"
89,"['대구', '무']"
90,"['홍합', '소금']"
91,"['양배추', '양파']"
92,"['오이', '소금']"
93,"['취나물', '소금']"
94,"['취나물', '마늘']"
95,"['취나물', '파']"
96,"['취나물', '참기름']"
97,"['배추', '마늘']"
98,"['까나리젓', '마늘']"
99,"['겨자', '설탕']"
100,"['꿀', '소금']"
101,"['무시래기', '마늘']"
102,"['청국장', '마늘']"
103,"['어묵', '간장']"
104,"['톳', '간장']"
105,"['톳', '고추']"
106,"['톳', '설탕']"
107,"['톳', '마늘']"
108,"['톳', '식초']"
109,"['톳', '들기름']"
110,"['얼갈이배추', '마늘']"
111,"['들깨', '마늘']"
112,"['콩(대두)', '소금']"
113,"['소주', '간장']"
114,"['들깻잎', '마늘']"
115,"['은행', '마늘']"
116,"['대합', '소금']"
117,"['대합', '간장']"
118,"['대합', '마늘']"
119,"['대합', '참기름']"
120,"['대합', '미역']"
121,"['고려엉겅퀴(곤드레)', '소금']"
122,"['고려엉겅퀴(곤드레)', '간장']"
123,"['고려엉겅퀴(곤드레)', '마늘']"
124,"['고려엉겅퀴(곤드레)', '멥쌀']"
125,"['고려엉겅퀴(곤드레)', '다시마']"
126,"['고려엉겅퀴(곤드레)', '들기름']"
127,"['물엿', '간장']"
128,"['매실', '마늘']"
129,"['냉이', '된장']"
130,"['멥쌀밥', '소금']"
131,"['부추', '마늘']"
132,"['새우젓', '마늘']"
133,"['멸치젓', '고춧가루']"
134,"['상추', '마늘']"
135,"['육회', '소금']"
136,"['육회', '고추']"
137,"['육회', '설탕']"
138,"['육회', '마늘']"
139,"['육회', '숙주나물']"
140,"['육회', '파']"
141,"['육회', '참기름']"
142,"['육회', '달걀']"
143,"['육회', '도라지']"
144,"['육회', '고사리']"
145,"['육회', '호박']"
