,RECIPE_ID,RECIPE_NM_KO,SUMRY,COOKING_TIME,QNT,LEVEL_NM,IMG_URL
0,2,오곡밥,정월대보름에 먹던 오곡밥! 영양을 한그릇에 담았습니다.,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/000300.jpg
1,3,잡채밥,잡채밥 한 그릇이면 오늘 저녁 끝! 입 맛 없을 때 먹으면 그만이지요~,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/000400.jpg
2,4,콩나물밥,다이어트에 으뜸인 콩나물밥. 밥 물 넣을때 평소보다 적게 넣는거 잊지마세요!,40분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/000600.jpg
3,5,약식,집에서도 쉽게 만들어 맛있게 먹을 수 있답니다. 어려워 마시고 만들어 보세요~!,60분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/000800.jpg
4,6,호박죽,호박죽 한 그릇이면 하루가 든든하답니다.,30분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/001300.jpg
5,7,흑임자죽,검은깨를 갈아서 만든 고소함이 가득한 흑임자죽. 남녀노소 모두 사랑하는 맛!,25분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/001400.jpg
6,8,카레라이스,향긋한 카레향이 너무 좋지요. 누구나 좋아하는 만들기도 간편한 음식입니다.,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/001600.jpg
7,9,오므라이스,각종 채소를 계란 속에 꼭꼭 숨겨 편식하는 아이들도 맛있게 먹어요~,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/001800.jpg
8,16,만둣국,만두를 예쁘게 만들면 이쁜 딸을 낳는다고 하죠? 가족들과 오손도손 맛있는 만두국 만들어 드셔보세요~,40분,4인분,보통,http://file.okdab.com/UserFiles/searching/recipe/003500.jpg
9,21,미역국,미역국은 철분이 풍부하게 함유된 음식이라 여자들에게 특히 좋은 음식이라 하지요.,30분,4인분,초보환영,http://file.okdab.com/UserFiles/searching/recipe/004700.jpg
