,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
0,2,"['콩', '차조', '쌀', '팥', '수수', '소금']","['두류', '조미료류', '곡류 및 그 제품']","['콩', '조', '팥', '수수', '소금', '멥쌀']"
1,173,"['쌀', '밀가루', '팥', '소금']","['두류', '조미료류', '곡류 및 그 제품']","['소금', '밀', '팥', '멥쌀']"
2,2019598,"['고추', '통깨', '매실청', '멍게', '깻잎', '참기름', '오이', '쌀', '소금', '당근', '식초']","['조미료류', '유지류', '견과류 및 종실류', '어패류 및 기타 수산물', '과실류', '채소류', '곡류 및 그 제품']","['고추', '참깨', '매실청', '멍게', '참기름', '들깻잎', '오이', '소금', '당근', '식초', '멥쌀']"
3,190,"['은행', '밤', '쌀', '대추', '잣', '송이버섯']","['버섯류', '과실류', '견과류 및 종실류', '곡류 및 그 제품']","['은행', '밤', '대추', '잣', '송이버섯', '멥쌀']"
4,193,"['밤', '쌀', '대추', '팥', '소금']","['조미료류', '곡류 및 그 제품', '두류', '과실류', '견과류 및 종실류']","['밤', '대추', '팥', '소금', '멥쌀']"
5,151,"['쑥', '설탕', '깨', '참기름', '계핏가루', '솔잎', '풋콩', '쌀', '대추', '꿀', '소금', '녹두']","['조미료류', '당류', '기타', '두류', '유지류', '곡류 및 그 제품', '견과류 및 종실류', '과실류', '채소류']","['콩', '참깨', '쑥', '설탕', '참기름', '솔잎', '대추', '꿀', '소금', '녹두', '계피', '멥쌀']"
6,6901841,"['쌀', '소금']","['조미료류', '곡류 및 그 제품']","['소금', '멥쌀']"
7,170,"['쌀', '참기름', '쑥', '소금']","['조미료류', '유지류', '채소류', '곡류 및 그 제품']","['참기름', '쑥', '소금', '멥쌀']"
8,94,"['밀가루', '파', '홍합', '조갯살', '쌀', '계란', '식용유', '소금', '굴']","['조미료류', '난류', '유지류', '곡류 및 그 제품', '어패류 및 기타 수산물', '채소류']","['혼합식물성유', '파', '달걀', '홍합', '조개', '밀', '소금', '굴', '멥쌀']"
9,7000177,"['쌀', '검은깨적당량', '대추', '막걸리', '잣']","['과실류', '주류', '견과류 및 종실류', '곡류 및 그 제품']","['참깨', '대추', '막걸리', '잣', '멥쌀']"
10,339,"['쌀', '콩', '소금']","['두류', '조미료류', '곡류 및 그 제품']","['콩', '소금', '멥쌀']"
11,1451091,"['호두', '올리브유', '버터', '건포도', '쌀', '대추', '계란', '곶감', '꿀', '베이킹파우더']","['당류', '기타', '난류', '유지류', '곡류 및 그 제품', '과실류', '견과류 및 종실류']","['달걀', '팽창제', '호두', '올리브유', '버터', '포도', '대추', '곶감', '꿀', '멥쌀']"
12,6,"['청동호박', '설탕', '쌀', '팥', '소금']","['조미료류', '당류', '곡류 및 그 제품', '두류', '채소류']","['호박', '설탕', '팥', '소금', '멥쌀']"
13,165,"['쌀', '팥', '소금']","['두류', '조미료류', '곡류 및 그 제품']","['소금', '팥', '멥쌀']"
14,133,"['후춧가루', '파', '생강', '수삼', '쌀', '대추', '소금', '닭고기', '마늘']","['조미료류', '기타', '곡류 및 그 제품', '과실류', '채소류', '육류']","['파', '생강', '대추', '인삼', '소금', '닭고기', '마늘', '후추', '멥쌀']"
15,5,"['간장', '물엿', '설탕', '계핏가루', '쌀', '대추', '식물성기름', '깐밤', '잣']","['조미료류', '당류', '유지류', '곡류 및 그 제품', '과실류', '견과류 및 종실류']","['잣', '혼합식물성유', '간장', '물엿', '설탕', '밤', '대추', '계피', '멥쌀']"
16,6731426,"['쌀', '조청', '팥', '소금']","['두류', '당류', '조미료류', '곡류 및 그 제품']","['조청', '소금', '팥', '멥쌀']"
17,6873741,"['쌀', '참기름', '볶은깨', '소금']","['조미료류', '유지류', '견과류 및 종실류', '곡류 및 그 제품']","['참기름', '참깨', '소금', '멥쌀']"
18,178,"['밤', '쌀', '대추', '팥', '소금']","['조미료류', '곡류 및 그 제품', '두류', '과실류', '견과류 및 종실류']","['밤', '대추', '팥', '소금', '멥쌀']"
19,360,"['콩', '미나리', '후춧가루', '간장', '참기름', '김', '쌀', '팥', '수수', '조', '소고기', '소금']","['조미료류', '해조류', '유지류', '곡류 및 그 제품', '두류', '채소류', '육류']","['콩', '미나리', '간장', '참기름', '김', '팥', '수수', '조', '소고기', '후추', '소금', '멥쌀']"
20,6771624,"['쌀', '수수가루', '팥', '소금']","['두류', '곡류 및 그 제품', '조미료류']","['수수', '멥쌀', '팥', '소금']"
21,1985525,"['미숫가루취향껏', '수박', '설탕', '연유', '팥', '소금', '씨리얼', '얼린우유', '키위', '얼린바나나']","['조미료류', '당류', '곡류 및 그 제품', '두류', '과실류', '우유 및 유제품류']","['우유', '수박', '설탕', '연유', '바나나', '팥', '소금', '시리얼', '키위', '보리']"
22,247,"['인절미', '설탕', '대추', '팥', '소금']","['조미료류', '당류', '곡류 및 그 제품', '두류', '과실류']","['설탕', '대추', '팥', '소금', '찹쌀떡']"
23,42,"['설탕', '칼국수면', '팥', '소금']","['두류', '당류', '곡류 및 그 제품', '조미료류']","['설탕', '칼국수', '팥', '소금']"
24,180330,"['마요네즈', '식빵', '우유', '달걀노른자', '건블루베리', '고구마', '꿀', '소금']","['조미료류', '당류', '난류', '감자 및 전분류', '곡류 및 그 제품', '과실류', '우유 및 유제품류']","['마요네즈', '블루베리', '달걀', '우유', '빵', '고구마', '꿀', '소금']"
